Year,Score,Title
68,86,Greetings
70,17,Bloody Mama
70,73,"Hi, Mom!"
71,40,Born to Win
73,98,Mean Streets
73,88,Bang the Drum Slowly
74,97,"The Godfather, Part II"
76,41,The Last Tycoon
76,99,Taxi Driver
77,47,1900
77,67,"New York, New York"
78,93,The Deer Hunter
80,97,Raging Bull
81,75,True Confessions
83,90,The King of Comedy
84,89,Once Upon a Time in America
84,60,Falling in Love
85,98,Brazil
86,65,The Mission
87,100,Dear America: Letters Home From Vietnam
87,80,The Untouchables
87,78,Angel Heart
88,96,Midnight Run
89,64,Jacknife
89,47,We're No Angels
90,88,Awakenings
90,29,Stanley & Iris
90,96,Goodfellas
91,76,Cape Fear
91,69,Mistress
91,65,Guilty by Suspicion
91,71,Backdraft
92,87,Thunderheart
92,67,Night and the City
93,75,This Boy's Life
93,78,Mad Dog and Glory
93,96,A Bronx Tale
94,39,Mary Shelley's Frankenstein
95,80,Casino
95,86,Heat
96,74,Sleepers
96,38,The Fan
96,80,Marvin's Room
97,85,Wag the Dog
97,87,Jackie Brown
97,72,Cop Land
98,68,Ronin
98,38,Great Expectations
99,69,Analyze This
99,43,Flawless
0,43,The Adventures of Rocky & Bullwinkle
0,84,Meet the Parents
0,41,Men of Honor
1,73,The Score
1,33,15 Minutes
2,48,City by the Sea
2,27,Analyze That
3,4,Godsend
4,35,Shark Tale
4,38,Meet the Fockers
5,4,The Bridge of San Luis Rey
5,46,Rent
5,13,Hide and Seek
6,54,The Good Shepherd
7,21,Arthur and the Invisibles
7,76,Captain Shakespeare
8,19,Righteous Kill
8,51,What Just Happened?
9,46,Everybody's Fine
10,72,Machete
10,10,Little Fockers
10,50,Stone
11,25,Killer Elite
11,7,New Year's Eve
11,70,Limitless
12,92,Silver Linings Playbook
12,51,Being Flynn
12,29,Red Lights
13,46,Last Vegas
13,7,The Big Wedding
13,29,Grudge Match
13,11,Killing Season
14,9,The Bag Man
15,60,Joy
15,26,Heist
15,61,The Intern
16,11,Dirty Grandpa
